City,Timestamp,Latitude,Longitude,Temperature (°C),Humidity (%),Pressure (hPa),Weather
Mumbai,2026-04-04 10:20:59.794842,19.0144,72.8479,29.99,54,1013,smoke
Rajkot,2026-04-04 10:21:00.920577,22.3,70.7833,28.89,43,1013,overcast clouds
Vijayawada,2026-04-04 10:21:02.024409,16.5167,80.6167,30.97,55,1010,scattered clouds
Chandigarh,2026-04-04 10:21:03.132362,30.7343,76.7933,27.04,40,1012,overcast clouds
Dhanbad,2026-04-04 10:21:04.237974,23.8,86.45,36.77,20,1008,broken clouds
Delhi,2026-04-04 10:21:05.351735,28.6667,77.2167,24.05,69,1012,haze
Coimbatore,2026-04-04 10:21:06.455050,11.0,76.9667,29.88,58,1012,scattered clouds
Gaya,2026-04-04 10:21:07.563172,24.7833,85.0,32.95,35,1007,haze
Dehradun,2026-04-04 10:21:08.682022,30.3256,78.0437,22.52,49,1013,overcast clouds
Varanasi,2026-04-04 10:21:09.808220,25.3333,83.0,29.05,51,1008,haze
Bengaluru,2026-04-04 10:21:10.906282,12.9762,77.6033,29.4,59,1012,broken clouds
Noida,2026-04-04 10:21:12.023944,28.58,77.33,24.16,55,1012,overcast clouds
Lucknow,2026-04-04 10:21:13.141076,26.85,80.9167,30.99,40,1009,haze
Jammu,2026-04-04 10:21:14.249627,32.7333,74.8667,21.66,61,1013,overcast clouds
Vadodara,2026-04-04 10:21:15.386220,22.3,73.2,29.98,45,1012,smoke
Visakhapatnam,2026-04-04 10:21:16.495475,17.69,83.2093,31.94,55,1010,broken clouds
Patna,2026-04-04 10:21:17.599918,25.6,85.1167,32.96,40,1007,haze
Raipur,2026-04-04 10:21:18.711242,21.2333,81.6333,32.08,35,1010,haze
Bilaspur,2026-04-04 10:21:19.822459,22.0833,82.15,35.58,25,1010,overcast clouds
Ahmedabad,2026-04-04 10:21:20.939973,23.0333,72.6167,26.02,41,1012,scattered clouds
Guwahati,2026-04-04 10:21:22.039639,26.1862,91.751,25.95,89,1007,mist
Shillong,2026-04-04 10:21:23.164722,25.5689,91.8831,21.02,65,1010,haze
Ranchi,2026-04-04 10:21:24.293519,23.35,85.3333,31.06,35,1009,haze
Thiruvananthapuram,2026-04-04 10:21:25.424262,8.4833,76.9167,33.99,62,1012,few clouds
Agartala,2026-04-04 10:21:26.534228,23.8364,91.275,29.01,79,1008,mist
Nagpur,2026-04-04 10:21:27.646830,21.15,79.1,28.01,54,1012,haze
Cuttack,2026-04-04 10:21:28.761319,20.465,85.8793,32.1,27,1008,broken clouds
Kohima,2026-04-04 10:21:29.872390,25.6667,94.1167,25.81,40,1010,broken clouds
Chennai,2026-04-04 10:21:30.985112,13.0878,80.2785,32.49,67,1010,scattered clouds
Ludhiana,2026-04-04 10:21:32.106098,30.9,75.85,23.05,64,1012,haze
Indore,2026-04-04 10:21:33.230327,22.7179,75.8333,28.1,51,1012,scattered clouds
Imphal,2026-04-04 10:21:34.343812,24.8167,93.95,25.95,65,1009,haze
Srinagar,2026-04-04 10:21:35.445923,34.0833,74.8167,13.06,68,1016,overcast clouds
Kochi,2026-04-04 10:21:36.559333,9.9399,76.2602,30.57,77,1012,overcast clouds
Dispur,2026-04-04 10:21:37.676286,26.1425,91.7889,25.97,44,1007,overcast clouds
Faridabad,2026-04-04 10:21:38.792710,28.4333,77.3167,24.14,55,1012,overcast clouds
Jabalpur,2026-04-04 10:21:39.914891,23.167,79.9501,27.47,65,1012,broken clouds
Mysuru,2026-04-04 10:21:41.037112,12.3072,76.6497,28.0,65,1012,scattered clouds
Amritsar,2026-04-04 10:21:42.152360,31.6331,74.8656,22.97,64,1012,haze
Shimla,2026-04-04 10:21:43.278970,31.1,77.1667,16.39,55,1014,overcast clouds
Aizawl,2026-04-04 10:21:44.410963,23.7333,92.7167,20.89,73,1009,haze
Gangtok,2026-04-04 10:21:46.608085,27.3333,88.6167,23.06,68,1011,broken clouds
Agra,2026-04-04 10:21:47.745241,27.1833,78.0167,29.66,33,1012,overcast clouds
Jalandhar,2026-04-04 10:21:48.870223,31.3256,75.5792,26.35,45,1012,overcast clouds
Gurgaon,2026-04-04 10:21:49.970486,28.4667,77.0333,24.02,69,1012,haze
Aurangabad,2026-04-04 10:21:51.069464,19.8833,75.3333,28.05,54,1012,haze
Hyderabad,2026-04-04 10:21:52.163803,17.3753,78.4744,31.23,45,1012,haze
Madurai,2026-04-04 10:21:53.270929,9.9333,78.1167,33.01,55,1011,few clouds
Kanpur,2026-04-04 10:21:54.378664,26.4667,80.35,32.87,27,1010,overcast clouds
Jaipur,2026-04-04 10:21:55.505746,26.9167,75.8167,26.62,44,1012,haze
Panaji,2026-04-04 10:21:56.621309,15.4833,73.8333,30.0,62,1012,overcast clouds
Bhopal,2026-04-04 10:21:57.731242,23.2667,77.4,28.13,34,1012,few clouds
Nashik,2026-04-04 10:21:58.841388,19.9833,73.8,26.83,44,1014,clear sky
Bhubaneswar,2026-04-04 10:21:59.965605,20.2333,85.8333,32.12,66,1008,haze
Kolkata,2026-04-04 10:22:01.075885,22.5697,88.3697,32.97,55,1007,haze
Surat,2026-04-04 10:22:02.184875,21.1667,72.8333,29.99,54,1012,few clouds
Ghaziabad,2026-04-04 10:22:03.282027,28.6667,77.4333,25.63,49,1011,overcast clouds
